Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/29/2023,03/30/2023,Amazon.com*HY2BK0CG2,Shopping,Sale,-29.95,
03/28/2023,03/28/2023,AUTOMATIC PAYMENT - THANK,,Payment,1262.31,
03/27/2023,03/28/2023,REI.COM  800-426-4840,Shopping,Sale,-16.89,
03/26/2023,03/27/2023,Cha Cha Cha Taqueria - Th,Food & Drink,Sale,-33.30,
03/26/2023,03/27/2023,Cha Cha Cha Taqueria - Th,Food & Drink,Sale,-10.00,
03/25/2023,03/27/2023,COIN METER LAUNDRY KIOSK/,Personal,Sale,-20.00,
03/26/2023,03/27/2023,SQ *BARISTA,Food & Drink,Sale,-17.10,
03/26/2023,03/27/2023,TRADER JOE S #146,Groceries,Sale,-98.55,
03/25/2023,03/26/2023,SQ *ALAINA ALBERTS,Personal,Sale,-58.80,
03/24/2023,03/26/2023,TST* Pizza Thief,Food & Drink,Sale,-15.00,
03/25/2023,03/26/2023,SQ *BARISTA,Food & Drink,Sale,-17.10,
03/24/2023,03/26/2023,TST* Pizza Thief,Food & Drink,Sale,-7.00,
03/24/2023,03/24/2023,COMCAST CABLE COMM,Bills & Utilities,Sale,-44.99,
03/21/2023,03/22/2023,Amazon.com*H706A2OK1,Shopping,Sale,-258.70,
