Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/28/2022,10/28/2022,AUTOMATIC PAYMENT - THANK,,Payment,1413.56,
10/27/2022,10/28/2022,Steam Purchase,Entertainment,Sale,-17.99,
10/25/2022,10/26/2022,AMZN Mktp US*H082F6ZN0,Shopping,Sale,-64.41,
10/24/2022,10/26/2022,COIN METER COMPANY KIOSK,Personal,Sale,-20.00,
10/25/2022,10/26/2022,AMZN Mktp US*H85BC2UT1,Shopping,Sale,-41.64,
10/22/2022,10/24/2022,GOODWILL OF PORTLAND,Gifts & Donations,Sale,-17.52,
10/21/2022,10/23/2022,ASTRO 206,Gas,Sale,-77.67,
10/21/2022,10/23/2022,SQ *ALAINA ALBERTS,Personal,Sale,-52.80,
10/22/2022,10/23/2022,eBay O*27-09242-39145,Shopping,Sale,-26.95,
10/21/2022,10/23/2022,CITY OF PORTLAND DEPT,Travel,Sale,-1.40,
10/21/2022,10/23/2022,SQ *AUTO CRAFT LLC,Automotive,Sale,-370.84,
10/18/2022,10/19/2022,76 - PLAID PANTRY 83,Gas,Sale,-8.29,
10/16/2022,10/17/2022,PEARL HARDWARE,Home,Sale,-3.99,
10/16/2022,10/17/2022,SP SAINT JAVELIN,Shopping,Sale,-116.00,
10/16/2022,10/17/2022,PEARL HARDWARE,Home,Sale,-28.98,
10/16/2022,10/17/2022,STEAMGAMES.COM 4259522985,Entertainment,Sale,-14.99,
10/11/2022,10/13/2022,COIN METER COMPANY KIOSK,Personal,Sale,-10.00,
10/11/2022,10/11/2022,STEAMGAMES.COM 4259522985,Entertainment,Sale,-29.99,
10/10/2022,10/11/2022,Amazon Prime*1K6186ET2,Bills & Utilities,Sale,-8.07,
10/10/2022,10/11/2022,ASTRO 206,Gas,Sale,-7.74,
10/09/2022,10/09/2022,Spotify USA,Bills & Utilities,Sale,-9.99,
10/07/2022,10/07/2022,Amazon Prime*141K919I2,Bills & Utilities,Sale,-15.62,
10/03/2022,10/04/2022,FARMERS INS BILLING,Bills & Utilities,Sale,-15.00,
10/04/2022,10/04/2022,Microsoft*OneDrive Standa,Shopping,Sale,-1.99,
10/03/2022,10/04/2022,1PASSWORD,Shopping,Sale,-3.99,
10/02/2022,10/03/2022,SAN LUIS OBISPO PARKING,Travel,Sale,-3.50,
09/30/2022,10/02/2022,UBER   TRIP,Travel,Sale,-39.08,
