Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/28/2022,12/28/2022,AUTOMATIC PAYMENT - THANK,,Payment,118.04,
12/27/2022,12/28/2022,SAN LUIS OBISPO PARKING,Travel,Sale,-1.00,
12/27/2022,12/28/2022,PDX AIRPORT PARKING,Travel,Sale,-126.00,
12/24/2022,12/25/2022,AVIS RENT-A-CAR,Travel,Sale,-299.65,
12/23/2022,12/25/2022,AVIS.COM PREPAY,Travel,Return,162.25,
12/24/2022,12/25/2022,LOVE'S #652,Gas,Sale,-40.93,
12/23/2022,12/25/2022,AVIS.COM PREPAY,Travel,Sale,-162.25,
12/24/2022,12/25/2022,COMCAST CABLE COMM,Bills & Utilities,Sale,-35.12,
12/23/2022,12/25/2022,PILOT_00391,Gas,Sale,-35.33,
12/24/2022,12/25/2022,76 - ADEL BICHAY &amp; TAM,Gas,Sale,-60.19,
12/23/2022,12/23/2022,adidas 6536 Portland,Shopping,Sale,-190.55,
12/22/2022,12/23/2022,76 - PLAID PANTRY 83,Gas,Sale,-56.04,
12/22/2022,12/22/2022,GOOGLE *Domains,Bills & Utilities,Sale,-6.00,
12/16/2022,12/18/2022,WALMART EGIFT CARD,Shopping,Sale,-50.00,
12/16/2022,12/18/2022,CITY OF PORTLAND DEPT,Travel,Sale,-1.20,
12/12/2022,12/12/2022,STEAMGAMES.COM 4259522985,Entertainment,Sale,-31.49,
12/11/2022,12/12/2022,76 - ST HELENS RD,Gas,Sale,-55.88,
12/09/2022,12/11/2022,CITY OF PORTLAND DEPT,Travel,Sale,-3.00,
12/10/2022,12/11/2022,Amazon Prime*YP4734EX3,Bills & Utilities,Sale,-8.07,
12/10/2022,12/11/2022,PORTLAND GENERAL ELECTRIC,Bills & Utilities,Sale,-5.58,
12/09/2022,12/11/2022,TODOIST,Shopping,Sale,-29.00,
12/09/2022,12/09/2022,Spotify USA,Bills & Utilities,Sale,-9.99,
12/07/2022,12/08/2022,7-ELEVEN 38495,Gas,Sale,-19.99,
12/05/2022,12/06/2022,UA.COM*888-727-6687 MD,Shopping,Sale,-59.69,
12/04/2022,12/05/2022,GOOGLE *CLOUD HWTQ28,Professional Services,Sale,-0.12,
12/04/2022,12/05/2022,PEARL HARDWARE,Home,Sale,-66.96,
12/04/2022,12/04/2022,Microsoft*Subscription,Shopping,Sale,-1.99,
12/03/2022,12/04/2022,1PASSWORD,Shopping,Sale,-3.99,
